"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"massachusetts",286,-71.02384186,42.38169098,21,6024,"main"
"massachusetts",286,-71.04676819,42.37595749,21,6025,"main"
"massachusetts",286,-71.04676819,42.35877228,21,6026,"main"
"massachusetts",286,-71.04676819,42.34730911,21,6027,"main"
"massachusetts",286,-71.04103851,42.33585358,21,6028,"main"
"massachusetts",286,-71.04676819,42.31293488,21,6029,"main"
"massachusetts",286,-71.04103851,42.30147552,21,6030,"main"
"massachusetts",286,-71.03530884,42.27855682,21,6031,"main"
"massachusetts",286,-71.02384186,42.2613678,21,6032,"main"
"massachusetts",286,-70.98947144,42.2384491,21,6033,"main"
"massachusetts",286,-70.96082306,42.22698975,21,6034,"main"
"massachusetts",286,-70.92644501,42.23271942,21,6035,"main"
"massachusetts",286,-70.91498566,42.24417877,21,6036,"main"
"massachusetts",286,-70.90925598,42.25563812,21,6037,"main"
"massachusetts",286,-70.89780426,42.29001617,21,6038,"main"
"massachusetts",286,-70.87487793,42.26709747,21,6039,"main"
"massachusetts",286,-70.84622955,42.24990845,21,6040,"main"
"massachusetts",286,-70.7889328,42.2384491,21,6041,"main"
"massachusetts",286,-70.73164368,42.20407104,21,6042,"main"
"massachusetts",286,-70.725914,42.18115234,21,6043,"main"
"massachusetts",286,-70.73164368,42.15250397,21,6044,"main"
"massachusetts",286,-70.72018433,42.13531876,21,6045,"main"
"massachusetts",286,-70.66287994,42.11240005,21,6046,"main"
"massachusetts",286,-70.64569855,42.09521103,21,6047,"main"
"massachusetts",286,-70.63996887,42.03791046,21,6048,"main"
"massachusetts",286,-70.61704254,42.02645493,21,6049,"main"
"massachusetts",286,-70.61704254,42.0092659,21,6050,"main"
"massachusetts",286,-70.62277985,42.0092659,21,6051,"main"
"massachusetts",286,-70.64569855,42.0092659,21,6052,"main"
"massachusetts",286,-70.65142822,42.02645493,21,6053,"main"
"massachusetts",286,-70.67434692,42.0321846,21,6054,"main"
"massachusetts",286,-70.68580627,42.0321846,21,6055,"main"
"massachusetts",286,-70.70298767,41.99780655,21,6056,"main"
"massachusetts",286,-70.69153595,41.97488785,21,6057,"main"
"massachusetts",286,-70.66287994,41.95197296,21,6058,"main"
"massachusetts",286,-70.64569855,41.94623947,21,6059,"main"
"massachusetts",286,-70.60559082,41.94623947,21,6060,"main"
"massachusetts",286,-70.56548309,41.93478012,21,6061,"main"
"massachusetts",286,-70.55402374,41.90613556,21,6062,"main"
"massachusetts",286,-70.54829407,41.8259201,21,6063,"main"
"massachusetts",286,-70.53683472,41.79727173,21,6064,"main"
"massachusetts",286,-70.51391602,41.7800827,21,6065,"main"
"massachusetts",286,-70.47953796,41.757164,21,6066,"main"
"massachusetts",286,-70.41078186,41.7342453,21,6067,"main"
"massachusetts",286,-70.33629608,41.72278595,21,6068,"main"
"massachusetts",286,-70.25608063,41.73997498,21,6069,"main"
"massachusetts",286,-70.1758728,41.76289368,21,6070,"main"
"massachusetts",286,-70.08992767,41.7800827,21,6071,"main"
"massachusetts",286,-70.04981995,41.79727173,21,6072,"main"
"massachusetts",286,-70.02690125,41.8259201,21,6073,"main"
"massachusetts",286,-70.02117157,41.84883881,21,6074,"main"
"massachusetts",286,-70.02690125,41.91186523,21,6075,"main"
"massachusetts",286,-70.04981995,41.92332077,21,6076,"main"
"massachusetts",286,-70.084198,41.91759109,21,6077,"main"
"massachusetts",286,-70.08992767,41.92905426,21,6078,"main"
"massachusetts",286,-70.08992767,41.9634285,21,6079,"main"
"massachusetts",286,-70.084198,41.99780655,21,6080,"main"
"massachusetts",286,-70.1071167,42.02072525,21,6081,"main"
"massachusetts",286,-70.13576508,42.03791046,21,6082,"main"
"massachusetts",286,-70.16440582,42.04937363,21,6083,"main"
"massachusetts",286,-70.18160248,42.04937363,21,6084,"main"
"massachusetts",286,-70.1987915,42.03791046,21,6085,"main"
"massachusetts",286,-70.21598053,42.02645493,21,6086,"main"
"massachusetts",286,-70.23316956,42.0321846,21,6087,"main"
"massachusetts",286,-70.25035095,42.04937363,21,6088,"main"
"massachusetts",286,-70.25035095,42.06656265,21,6089,"main"
"massachusetts",286,-70.23316956,42.08374786,21,6090,"main"
"massachusetts",286,-70.21024323,42.08948135,21,6091,"main"
"massachusetts",286,-70.16440582,42.08374786,21,6092,"main"
"massachusetts",286,-70.12430573,42.06656265,21,6093,"main"
"massachusetts",286,-70.084198,42.0551033,21,6094,"main"
"massachusetts",286,-70.03263092,42.0092659,21,6095,"main"
"massachusetts",286,-69.99825287,41.9634285,21,6096,"main"
"massachusetts",286,-69.94669342,41.85456467,21,6097,"main"
"massachusetts",286,-69.9524231,41.83164597,21,6098,"main"
"massachusetts",286,-69.96387482,41.8259201,21,6099,"main"
"massachusetts",286,-69.97533417,41.80873108,21,6100,"main"
"massachusetts",286,-69.94669342,41.79727173,21,6101,"main"
"massachusetts",286,-69.94669342,41.76862335,21,6102,"main"
"massachusetts",286,-69.95814514,41.74570465,21,6103,"main"
"massachusetts",286,-69.96960449,41.72278595,21,6104,"main"
"massachusetts",286,-69.95814514,41.67694855,21,6105,"main"
"massachusetts",286,-69.94669342,41.64257431,21,6106,"main"
"massachusetts",286,-69.96387482,41.59673691,21,6107,"main"
"massachusetts",286,-69.98106384,41.58527374,21,6108,"main"
"massachusetts",286,-69.99253082,41.59100723,21,6109,"main"
"massachusetts",286,-69.99825287,41.64257431,21,6110,"main"
"massachusetts",286,-70.01544189,41.65402985,21,6111,"main"
"massachusetts",286,-70.04981995,41.6654892,21,6112,"main"
"massachusetts",286,-70.09565735,41.65976334,21,6113,"main"
"massachusetts",286,-70.1300354,41.65402985,21,6114,"main"
"massachusetts",286,-70.15867615,41.65976334,21,6115,"main"
"massachusetts",286,-70.18733215,41.6654892,21,6116,"main"
"massachusetts",286,-70.21024323,41.65402985,21,6117,"main"
"massachusetts",286,-70.25035095,41.63111115,21,6118,"main"
"massachusetts",286,-70.27900696,41.64257431,21,6119,"main"
"massachusetts",286,-70.33629608,41.63111115,21,6120,"main"
"massachusetts",286,-70.35349274,41.62538147,21,6121,"main"
"massachusetts",286,-70.38786316,41.63111115,21,6122,"main"
"massachusetts",286,-70.42797089,41.62538147,21,6123,"main"
"massachusetts",286,-70.43943024,41.61965561,21,6124,"main"
"massachusetts",286,-70.46234894,41.57954788,21,6125,"main"
"massachusetts",286,-70.49099731,41.55089951,21,6126,"main"
"massachusetts",286,-70.66287994,41.54516983,21,6127,"main"
"massachusetts",286,-70.66287994,41.59100723,21,6128,"main"
"massachusetts",286,-70.64569855,41.63111115,21,6129,"main"
"massachusetts",286,-70.65142822,41.6884079,21,6130,"main"
"massachusetts",286,-70.62850952,41.7113266,21,6131,"main"
"massachusetts",286,-70.62277985,41.72278595,21,6132,"main"
"massachusetts",286,-70.64569855,41.7342453,21,6133,"main"
"massachusetts",286,-70.67434692,41.73997498,21,6134,"main"
"massachusetts",286,-70.697258,41.74570465,21,6135,"main"
"massachusetts",286,-70.725914,41.73997498,21,6136,"main"
"massachusetts",286,-70.7430954,41.71705627,21,6137,"main"
"massachusetts",286,-70.7717514,41.6654892,21,6138,"main"
"massachusetts",286,-70.7889328,41.64830017,21,6139,"main"
"massachusetts",286,-70.81758118,41.63111115,21,6140,"main"
"massachusetts",286,-70.84049988,41.61965561,21,6141,"main"
"massachusetts",286,-70.85196686,41.59673691,21,6142,"main"
"massachusetts",286,-70.87487793,41.59673691,21,6143,"main"
"massachusetts",286,-70.89206696,41.60819244,21,6144,"main"
"massachusetts",286,-70.91498566,41.60819244,21,6145,"main"
"massachusetts",286,-70.96082306,41.57954788,21,6146,"main"
"massachusetts",286,-70.96082306,41.56235504,21,6147,"main"
"massachusetts",286,-70.95509338,41.53371048,21,6148,"main"
"massachusetts",286,-70.96082306,41.5279808,21,6149,"main"
"massachusetts",286,-70.99520111,41.53371048,21,6150,"main"
"massachusetts",286,-70.99520111,41.51652145,21,6151,"main"
"massachusetts",286,-71.00666046,41.5050621,21,6152,"main"
"massachusetts",286,-71.06395721,41.49933624,21,6153,"main"
"massachusetts",286,-71.08114624,41.54516983,21,6154,"main"
"massachusetts",286,-71.10978699,41.53944016,21,6155,"main"
"massachusetts",286,-71.13844299,41.65402985,21,6156,"main"
"massachusetts",286,-71.15562439,41.6884079,21,6157,"main"
"massachusetts",286,-71.16135406,41.71705627,21,6158,"main"
"massachusetts",286,-71.16709137,41.74570465,21,6159,"main"
"massachusetts",286,-71.20146179,41.75143433,21,6160,"main"
"massachusetts",286,-71.26449585,41.757164,21,6161,"main"
"massachusetts",286,-71.32178497,41.77435303,21,6162,"main"
"massachusetts",286,-71.338974,41.79727173,21,6163,"main"
"massachusetts",286,-71.34470367,41.81446075,21,6164,"main"
"massachusetts",286,-71.35044098,41.91186523,21,6165,"main"
"massachusetts",286,-71.37908173,41.91186523,21,6166,"main"
"massachusetts",286,-71.3848114,41.9863472,21,6167,"main"
"massachusetts",286,-71.39054108,42.02645493,21,6168,"main"
"massachusetts",286,-71.49367523,42.02645493,21,6169,"main"
"massachusetts",286,-71.78588104,42.0092659,21,6170,"main"
"massachusetts",286,-71.8030777,42.03791046,21,6171,"main"
"massachusetts",286,-72.10100555,42.0321846,21,6172,"main"
"massachusetts",286,-72.12966156,42.03791046,21,6173,"main"
"massachusetts",286,-72.50208282,42.03791046,21,6174,"main"
"massachusetts",286,-72.55364227,42.0321846,21,6175,"main"
"massachusetts",286,-72.74845123,42.03791046,21,6176,"main"
"massachusetts",286,-72.75991058,42.00353622,21,6177,"main"
"massachusetts",286,-72.81720734,42.0092659,21,6178,"main"
"massachusetts",286,-72.81720734,42.03791046,21,6179,"main"
"massachusetts",286,-73.01200867,42.04364395,21,6180,"main"
"massachusetts",286,-73.04065704,42.04364395,21,6181,"main"
"massachusetts",286,-73.49902344,42.04937363,21,6182,"main"
"massachusetts",286,-70.0612793,41.27587891,22,6184,"nantucket"
"massachusetts",286,-70.0383606,41.28160858,22,6185,"nantucket"
"massachusetts",286,-70.02117157,41.29879761,22,6186,"nantucket"
"massachusetts",286,-70.01544189,41.31598663,22,6187,"nantucket"
"massachusetts",286,-70.04409027,41.31598663,22,6188,"nantucket"
